Kanji,Word,Meaning,Meaning_FR,Meaning_KR
先,先生,"teacher, master, doctor; with names of teachers, etc. as an honorific","professeur, maître, médecin; avec les noms des enseignants, etc. comme un honorifique","교사, 마스터, 의사; 교사 등의 이름을 명예로"
先,先発,"forerunner, advance party, going on ahead; being in a (team sports) match or game from the start, starting","précurseur, avant-partie, aller de l’avant; être dans un match (sport d’équipe) ou un jeu dès le début, à partir de","전신, 사전 파티, 앞으로 진행; 처음부터 (팀 스포츠) 경기 또는 게임에 있는, 시작"
先,優先,"preference, priority, precedence","préférence, priorité","기본 설정, 우선 순위"
先,先進,"seniority, advance, leadership","l’ancienneté, l’avance, le leadership","연공서열, 진보, 리더십"
先,先頭,"head, lead, vanguard, first","tête, plomb, avant-garde, d’abord","머리, 리드, 선봉, 첫 번째"
先,先行,"preceding, going first, leading, going ahead, taking priority","précédent, aller en premier, en tête, aller de l’avant, en prenant la priorité","선행, 먼저 가고, 앞서가고, 우선순위를"
先,先週,"last week, the week before","la semaine dernière, la semaine précédente","지난 주, 전주"
名,名,"name, reputation","nom, réputation","이름, 평판"
名,名前,"name, full name; given name, first name","nom, nom complet; prénom, prénom","이름, 전체 이름; 주어진 이름"
名,名誉,"honor, honour, credit, prestige","honneur, crédit, prestige","명예, 신용, 명성"
名,指名,"name, nominate, designate","nom, nom, désigne","이름, 지명, 지정"
名,氏名,"full name, identity","nom complet, identité","전체 이름, 정체성"
名,有名,famous; fame,célèbre; Renommée,유명한; 명성
名,署名,signature,Signature,서명
名,本名,real name,vrai nom,실명
名,名人,"master, expert","maître, expert","마스터, 전문가"
名,名簿,register of names,registre des noms,이름 등록
川,川,"river, stream; the .... river, (suffix used with the names of rivers)","rivière, ruisseau",강
川,小川,"streamlet, brook","streamlet, ruisseau",작은 시내
川,河川,rivers,Rivières,강
川,谷川,mountain stream,ruisseau de montagne,산줄기
川,江戸川,Edo River,Rivière Edo,에도가와 강
川,川口,"mouth of river, estuary","bouche de rivière, estuaire","강의 입, 하구"
川,川上,upper reaches of a river,les tronçons supérieurs d’une rivière,강의 상부 도달
川,川端,riverbank,Rive,강둑
川,河川敷,(dry) riverbed,(sec) lit de rivière,(건조) 강바닥
千,千,"1,000, thousand","1 000, mille","1,000, 천"
千,三千,3000; many,3000; Nombreux,3000; 많은
千,四千,four thousand,quatre mille,사천
千,千代,"thousand years; very long period, forever","mille ans; période très longue, pour toujours","천 년; 아주 긴 기간, 영원히"
千,千里,"1000 ri, (a) long distance","1000 ri, (a) longue distance","1000 리, (a) 장거리"
千,千秋楽,"concluding festivities, final day of a sumo tournament, concluding program, concluding programme","clôture des festivités, dernier jour d’un tournoi de sumo, programme de clôture","축제, 스모 토너먼트 마지막 날, 프로그램 종료"
千,千島,Kurile Islands,Iles Kurile,쿠릴 제도
千,千歳,"millennium, one thousand years","millénaire, mille ans",천년
千,千九百年代,the 1900s,les années 1900,1900년대
千,何千,many thousands,plusieurs milliers,몇 천
水,水,"water (cold, fresh)","eau (froide, fraîche)","물 (차가운, 신선한)"
水,水準,"level, standard; water level","niveau, standard; niveau d’eau","수준, 표준; 수위"
水,水道,"water service, water supply","service d’eau, approvisionnement en eau","급수 서비스, 급수"
水,水面,water's surface,surface de l’eau,물 표면
水,水泳,swimming,Natation,수영
水,水田,(water-filled) paddy field,champ de rizières (rempli d’eau),(물이 가득한) 논
水,水俣病,Minamata disease,Maladie de Minamata,미나마타 병
水,水産,"marine products, fisheries","produits marins, pêche",수산물
水,水質,water quality,qualité de l’eau,수질
水,下水道,"drain, sewer, drainage system","drain, égout, système de drainage","배수, 하수, 배수 시스템"
国,国,"country, (the) state; region; province (of Japan); home (i.e. hometown, home country); land, earth","pays, (l') État; région; province (du Japon); maison (c.-à-d. ville natale, pays d’origine); terre, terre","국가, () 주; 지역; (일본); 홈 (즉, 고향, 고향); 토지, 지구"
国,外国,foreign country,pays étranger,외국
国,外国人,foreigner,Étranger,외국인
国,韓国,(South) Korea,(Sud) Corée,(남부) 대한민국
国,国家,"state, country, nation","l’État, le pays, la nation","주, 국가, 국가"
国,国会,"National Diet, parliament, congress","Alimentation nationale, parlement, congrès",국회·의회·의회
国,国際,international,International,국제
国,国内,"internal, domestic","interne, domestique","내부, 국내"
国,国民,"nation, nationality, people, citizen","nation, nationalité, peuple, citoyen","국가, 국적, 국민, 시민"
国,国連,"UN, United Nations","ONU, Nations Unies","유엔, 유엔"
長,長,"chief, head","chef, chef","수석, 머리"
長,委員長,committee chairman,président du comité,위원회 위원장
長,会長,"president (of a society), chairman","président (d’une société), président","회장(사회), 의장"
長,議長,"chairman, speaker (e.g. of assembly), president (e.g. of council, senate, etc.), moderator (e.g. of a newsgroup)","président, conférencier (p. ex. de l’Assemblée), président (p. ex. du conseil, du sénat, etc.), modérateur (p. ex. d’un groupe de discussion)","의장, 연사(예: 의회), 회장(예: 의회, 상원 등), 사회자(예: 뉴스그룹)"
長,社長,"company president, manager, director","président de l’entreprise, directeur, administrateur","회사 사장, 매니저, 이사"
長,成長,"growth, grow to adulthood","croissance, croître à l’âge adulte","성장, 성인으로 성장"
長,長官,"secretary (government), director, chief","secrétaire (gouvernement), directeur, chef","비서(정부), 이사, 수석"
長,長男,eldest son,fils aîné,장남
長,部長,"head (chief, director) of a section or department; head of a (school) club, head of a (school) team","chef (chef, directeur) d’une section ou d’un département; chef d’un club (scolaire), chef d’une équipe (scolaire)","섹션 또는 부서의 머리 (수석, 이사) (학교) 클럽 장, (학교) 팀장"
長,延長,"extension, elongation, prolongation, lengthening; Enchou era (923.4.11-931.4.26)","extension, allongement, prolongation, allongement; Enchou era (923.4.11-931.4.26)","연장, 신장, 연장, 길어지다; 엔추 시대 (923.4.11-931.4.26)"
男,男,man,Homme,남자
男,男子,"youth, young man","jeunes, jeune homme","청소년, 청년"
男,男性,"man, male; masculine gender","homme, mâle; sexe masculin","남자, 남성 성별"
男,長男,eldest son,fils aîné,장남
男,男女,"man and woman, men and women","homme et femme, hommes et femmes",남자와 여자
男,男の子,"boy, male child, baby boy","garçon, enfant mâle, petit garçon","소년, 남성 아이, 아기 소년"
男,三男,"three men, third son","trois hommes, troisième fils","세 남자, 셋째 아들"
男,男児,"boy, son, man","garçon, fils, homme","소년, 아들, 남자"
男,一男,"boy, eldest son","garçon, fils aîné","소년, 장남"
男,男優,actor,Acteur,배우
時,時,"time, hour; occasion, moment","temps, heure; occasion, moment","시간, 행사, 순간"
時,時間,time; hours,temps; Heures,시간
時,時期,"time, season, period; soon, shortly","temps, saison, point; bientôt, peu de temps après","시간, 계절, 곧"
時,時代,"period, epoch, era, age; the times, those days; oldness, ancientness, antiquity; antique, period piece","période, époque, âge; les temps, ces jours-là; l’ancienneté, l’antiquité; antique, pièce d’époque","기간, 시대, 나이; 시대, 그 시절; 고풍, 고대, 골동품, 마침표 조각"
時,当時,"at that time, in those days","à ce moment-là, à cette époque",그 당시
時,同時,"simultaneous(ly), concurrent, same time, synchronous, together","simultanée, même temps, synchrone, ensemble","동시, 함께"
時,一時,"one hour, short time, once, a time, temporarily, at one time, twelfth part of a day","une heure, peu de temps, une fois, une fois, temporairement, à la fois, douzième partie d’une jour née","한 시간, 짧은 시간, 한 번, 한 번, 일시적으로, 한 번에, 하루의 열두 번째 부분"
時,時事,"events of the day, current affairs","événements du jour, actualité","오늘의 사건, 시사"
時,時半,"about an hour, short time; half past (the hour)","environ une heure, peu de temps; mi-temps (l’heure)","약 한 시간, 짧은 시간; 반 과거 (시간)"
時,臨時,"temporary, special, extraordinary","temporaire, spécial, extraordinaire","임시, 특별, 특별"
行,行う,"to perform, to do, to conduct oneself, to carry out","de se produire, de faire, de se conduire, de réaliser","수행하고, 수행하고, 수행하고, 수행하고, 수행하기 위해"
行,行,"line (i.e. of text), row, verse; carya (austerities); samskara (formations); running script (a semi-cursive style of kanji)","ligne (c.-à-d. de texte), rangée, verset; carya (austères); samskara (formations); script en cours d’exécution (un style semi-cursif de kanji)","줄, 행, 구절"
行,銀行,bank,Banque,은행
行,行政,administration,Administration,관리
行,行動,"action, conduct, behaviour, behavior, mobilization, mobilisation","action, conduite, comportement, mobilisation","행동, 동원"
行,現行,"present, current, in operation","présent, actuel, en opération","현재, 작동 중"
行,行為,"act, deed, conduct","acte, conduite",행위
行,行方,"(one's) whereabouts; course, direction","(son) lieu; cours, direction","(하나) 행방; 코스, 방향"
行,発行,"issue (publications), publishing; raising an event (software)","(publications), publication; élever un événement (logiciel)","발행물(출판물), 출판"
行,旅行,"travel, trip",voyage,여행
分,分け,"sharing, division; draw, tie","partage, division; tirage au sort, égalité","가름, 나눔, 분배"
分,分ける,"to divide, to separate, to make distinctions, to differentiate (between)","diviser, séparer, faire des distinctions, différencier (entre)","분할, 분리, 구별하기 위해, 차별화 (사이)"
分,自分,"myself, yourself, oneself, himself, herself; I, me","moi-même, vous-même, soi-même, lui-même; Moi",나 자신
分,部分,"portion, section, part","partie, section, partie","부분, 단면, 부품"
分,分野,"field, sphere, realm, division, branch","champ, sphère, royaume, division, branche","필드, 구체, 영역, 분열, 분기"
分,十分,"plenty, enough, sufficient, satisfactory, adequate; division into ten; perfectly, thoroughly, fully, in full","suffisamment, suffisant, satisfaisant, adéquat; division en dix; parfaitement, à fond, entièrement, dans son intégralité","많음, 충분, 충분, 만족, 적절 한; 10으로 나누기; 완벽하고, 철저하게, 완전하게, 완전하게"
分,処分,"disposal, dealing, punishment","l’élimination, le traitement, la punition","처분, 거래, 처벌"
分,半分,half,Moitié,절반
分,残った分,amount left over,montant restant,남은 금액
分,気分,"feeling, mood","sentiment, humeur","느낌, 기분"
